Feature ID,Domain,Super_Groups,Super_Kingdom,Kingdom,Phylum,Class,Family,Genus,species
d27f34458992000f25b913554737bb29,Eukaryota,TSAR,Rhizaria,Cercozoa,Sainouroidea,Sainouroidea_X,Guttulinopsidae,Rosculus,Unassigned
589b5e3d0ca580fafab507c431b51ef5,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
04db5c636b8e763a060ce423c3f511c0,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Unassigned,Unassigned
3464e3c8f90339ef251fba2e58fb65a8,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
c5f073ecd613f29a4b841fbacd80a2bb,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Unassigned,Unassigned
7804e78fbf70b7fdc2fd01a7aa6fccf7,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
d9562b364684dcc7e1b7dda017f60314,Eukaryota,Obazoa,Opisthokonta,Fungi,Mucoromycota,Mucoromycotina,Mucoromycotina_X,Rhizomucor,Rhizomucor_endophyticus
494a9b77f14a6845fc6ffe568c6f4f86,Eukaryota,TSAR,Stramenopiles,Gyrista,Gyrista_X,Gyrista_XX,MAST-2,MAST-2B,MAST-2B_sp.
314afe1d89907d64d5a54fe78e10e0cc,Eukaryota,Excavata,Discoba,Discoba_X,Heterolobosea,Tetramitia_VI,Tetramitia_VI_X,Paravahlkampfia,Paravahlkampfia_ustiana
c82053908182939090c024518f45e092,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
beb9a69fc100824adb5bc356b1409bc9,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
bf3eb69fe9987c827bba5e19b9a1d4f0,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
cdee518df169fd2f406f7b1589ac558d,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
493bf82ada718145841ea5395d614a19,Eukaryota,Obazoa,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Amynthas,Unassigned
44597251ac3496638d096d2bba2be3c7,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
f22799f910826f2c7cd223a4dd8f75e2,Eukaryota,Archaeplastida,Rhodophyta,Rhodophyta_X,Bangiophyceae,Cyanidiales,Cyanidiales_X,Cyanidioschyzon,Cyanidioschyzon_sp.
e84d13d00b2ad9891ea3fa5cb0519a41,Eukaryota,Obazoa,Opisthokonta,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
7c4ee6b65b030826bcaa67f6e7d05bf7,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
cf0f5d05815983cc2fd1e10468d9ddac,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
acdbd15710bea17a0cdea470c9269b00,Eukaryota,Excavata,Discoba,Discoba_X,Heterolobosea,Tetramitia_VI,Tetramitia_VI_X,Paravahlkampfia,Paravahlkampfia_ustiana
08cf77f2255115779bf7db9a6c48963f,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Pyrenophora,Unassigned
60e5a1c36c47b5ff9c98c17ae1a9ba66,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
eeab7631d025bee6ce05e1180668bcdd,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
949e46dd2f621c0948a2ef98e40418df,Eukaryota,Obazoa,Opisthokonta,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
cf83171303e63a61418fa30e4b4d6c65,Eukaryota,Amoebozoa,Tubulinea,Tubulinea_X,Elardia,Euamoebida,Hartmannellidae,Saccamoeba,Saccamoeba_limax
ab64baeff4435473a2951786a8f3e096,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Unassigned,Unassigned
bb5626ddd38827f9c6fdfca4e3671b76,Eukaryota,Amoebozoa,Discosea,Discosea_X,Flabellinia,Vannellida,Vannellidae,Vannella,Vannella_simplex
631810a80c16bd6afa4f6f89fe7377c6,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
5a280e445f6ea6b35b25fdf86caa851a,Eukaryota,Obazoa,Opisthokonta,Fungi,Mucoromycota,Mortierellaceae,Mortierellaceae_X,Mortierella,Mortierella_alpina
a7365c223db1a811d70b9111188088c0,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
1d6772dc6e608be68b4742d022888b07,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Anystis,Anystis_sp.
26fe0805da4b029030c4d8aeebace839,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
9f38f0712a2bc272a74fc0b78206b41b,Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,Unassigned,Unassigned,Unassigned,Unassigned
c760793ef28c616cd059ecd3b033449a,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
0fd549d6759d0f9cf7270fc4c614cef3,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
e20ec2c1287fc335ee9a3451e66dd82d,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
8c42bb3c55738ab545111dd0fdc09026,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
8a4f0bb425262f9f34d5ad198d891d70,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,Tilletiopsis,Unassigned
3472082b02576afe4c0bc1ca1f2f6336,Eukaryota,TSAR,Alveolata,Ciliophora,Oligohymenophorea,Scuticociliatia_2,Scuticociliatia_2_X,Cyclidium_3,Unassigned
449be62ababc42016fd42b30cfc8e8fe,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
4539968203be2ecf93578ef731e2e5fb,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
834a26f8f81ef794881dd66ffad72eb4,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Amphifilaceae,Amphifilaceae_X,Amphifilaceae_X_sp.
a4d199661c7bfe44702d481b45976a07,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
b695b509b8ace084e19e184e2b28733c,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Unassigned,Unassigned
79cc852c4465fe9ba704c44a31357110,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
fa674ffcd606d22f1dec11c8fe867022,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Eucalyptus,Eucalyptus_camaldulensis
